,wordform,fst_analyses
95,omikawaasiidogenan,"['mikaw+VTA+Ind+Neg+Dub+3SgProxSubj+3SgObvObj', 'mikaw+VTA+Ind+Neg+Dub+3SgProxSubj+3PlObvObj']"
96,owaabamaasiidogenan,"['waabam+VTA+Ind+Neg+Dub+3SgProxSubj+3SgObvObj', 'waabam+VTA+Ind+Neg+Dub+3SgProxSubj+3PlObvObj']"
97,omizhwaasiidogenan,"['mizhwi+VTA+Ind+Neg+Dub+3SgProxSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Dub+3SgProxSubj+3SgObvObj', 'mizhwi+VTA+Ind+Neg+Dub+3SgProxSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Dub+3SgProxSubj+3PlObvObj']"
98,omiinaasiidogenan,"['miizh+VTA+Ind+Neg+Dub+3SgProxSubj+3SgObvObj', 'miizh+VTA+Ind+Neg+Dub+3SgProxSubj+3PlObvObj']"
99,omawadisaasiidogenan,"['mawadish+VTA+Ind+Neg+Dub+3SgProxSubj+3SgObvObj', 'mawadish+VTA+Ind+Neg+Dub+3SgProxSubj+3PlObvObj']"
100,gimikaagoosiimwaadog,"['mikaw+VTA+Ind+Neg+Dub+XSubj+2PlObj', 'mikaw+VTA+Ind+Neg+Dub+ExclSubj+2PlObj']"
101,giwaabamigoosiimwaadog,"['waabam+VTA+Ind+Neg+Dub+XSubj+2PlObj', 'waabam+VTA+Ind+Neg+Dub+ExclSubj+2PlObj']"
102,gimizhogoosiimwaadog,"['mizhwi+VTA+Ind+Neg+Dub+XSubj+2PlObj', 'mizho+VTA+Ind+Neg+Dub+XSubj+2PlObj', 'mizhwi+VTA+Ind+Neg+Dub+ExclSubj+2PlObj', 'mizho+VTA+Ind+Neg+Dub+ExclSubj+2PlObj']"
103,gimiinigoosiimwaadog,"['miizh+VTA+Ind+Neg+Dub+XSubj+2PlObj', 'miizh+VTA+Ind+Neg+Dub+ExclSubj+2PlObj']"
104,gimawadisigoosiimwaadog,"['mawadish+VTA+Ind+Neg+Dub+XSubj+2PlObj', 'mawadish+VTA+Ind+Neg+Dub+ExclSubj+2PlObj']"
105,gimikaagoosiinaadog,"['mikaw+VTA+Ind+Neg+Dub+XSubj+2SgObj', 'mikaw+VTA+Ind+Neg+Dub+ExclSubj+2SgObj']"
106,giwaabamigoosiinaadog,"['waabam+VTA+Ind+Neg+Dub+XSubj+2SgObj', 'waabam+VTA+Ind+Neg+Dub+ExclSubj+2SgObj']"
107,gimizhogoosiinaadog,"['mizhwi+VTA+Ind+Neg+Dub+XSubj+2SgObj', 'mizho+VTA+Ind+Neg+Dub+XSubj+2SgObj', 'mizhwi+VTA+Ind+Neg+Dub+ExclSubj+2SgObj', 'mizho+VTA+Ind+Neg+Dub+ExclSubj+2SgObj']"
